ID;Image URLs (x,y,z...)
1;https://manufakturaoswietlenia.pl/userdata/public/gfx/4877.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4874.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4873.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5878/LAMPA-STOJACA-PODLOGOWA-TROJNOG-ZE-STOLIKIEM-2076-Kod-produktu-1701.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4878.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4875.jpg
2;https://manufakturaoswietlenia.pl/userdata/public/gfx/5880/LAMPA-STOJACA-PODLOGOWA-TROJNOG-ZE-STOLIKIEM-2078.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4882.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4881.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5879/LAMPA-STOJACA-PODLOGOWA-TROJNOG-ZE-STOLIKIEM-2076-Kod-produktu-1701.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4884.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4886.jpg
3;https://manufakturaoswietlenia.pl/userdata/public/gfx/5886/lampa-podlogowa-miniatura.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5887/lampa-podlgowa.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5883/lampa-garnek-2-wizu.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5884/lampa-garnek-wizu-3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5885/lampa-garnek-wizu1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5881/detal-lampa_.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5882/detal-lampa.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5888/lampa-podlogowa-wymiar.jpg
4;https://manufakturaoswietlenia.pl/userdata/public/gfx/5461.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5462.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5459.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5460.jpg
5;https://manufakturaoswietlenia.pl/userdata/public/gfx/5467.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5468.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5465.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5469.jpg
6;https://manufakturaoswietlenia.pl/userdata/public/gfx/5471.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5473.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5470.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/5472.jpg
7;https://manufakturaoswietlenia.pl/userdata/public/gfx/6091/Lampa-podlogowa-czarny-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6093/Lampa-podlogowa-UFOczarno-zloty-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6094/krzyzak-wizu-2-cz-zloty.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6095/krzyzak-wizu-3-cz-zl.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6090/wymiar-czarny-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6092/Lampa-podlogowa-UFO-czarny-zloty-zamsz-wymiar.jpg
8;https://manufakturaoswietlenia.pl/userdata/public/gfx/6099/krzyzakk-lux-zloty-detal2-miniatura.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6101/krzyzak-zloty-lux.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6097/krzyzak-lux-zloty-wizu-3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6098/krzyzak-zloty-lux-wizu-2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6096/wymiar-czarny-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6100/krzyzak-zloty-lux-wymiar.jpg
9;https://manufakturaoswietlenia.pl/userdata/public/gfx/6121/1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6122/2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6127/7.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6124/4.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6123/3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6125/5.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6126/6.jpg
10;https://manufakturaoswietlenia.pl/userdata/public/gfx/6066/Lampa-podlogowa-butelkowy-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6068/Lampa-podlogowa-UFO-butelkowy-zloty-zamsz.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6069/ufo-wizu-2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6070/ufo-wizu1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6065/abazur-butelkowy-45-wymiar.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6067/Lampa-podlogowa-UFO-butelkowy-zloty-zamsz-wymiar.jpg
11;https://manufakturaoswietlenia.pl/userdata/public/gfx/6074/krzyzakk-detal2-miniatura.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6076/krzyzak-zielony.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6072/krzyzak-wizu-2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6073/krzyzak-wizu-3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6071/abazur-butelkowy-45-wymiar.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6075/krzyzak-zielony-wymiar.jpg
12;https://manufakturaoswietlenia.pl/userdata/public/gfx/6168/1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6162/7.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6167/2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6163/3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6166/6.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6165/5.jpg
13;https://manufakturaoswietlenia.pl/userdata/public/gfx/6173/1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6172/2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6169/4.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6174/7.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6171/6.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6170/5.jpg
14;https://manufakturaoswietlenia.pl/userdata/public/gfx/6179/1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6175/4.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6178/2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6180/3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6177/6.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6176/5.jpg
15;https://manufakturaoswietlenia.pl/userdata/public/gfx/6183/1.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6181/4.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6186/2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6184/3.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6185/6.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/6182/5.jpg
16;https://manufakturaoswietlenia.pl/userdata/public/gfx/4861.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4851/deefcbee46fba8a8d5074073a682.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4852/ac06204a45b98490836365154d87.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4853/7b00e0074b9c8ff37d326df0d449.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4854/36187c1f44ea9cbdfac2521754a2.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4858/17a0a66f4f8dbc7d627f40d654cd.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4859/daebf3ac426a9dc99516cd29db2f.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4860/768efbe4448f9823719afdba215f.jpg
17;https://manufakturaoswietlenia.pl/userdata/public/gfx/4941.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4939.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4940.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4938.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4933.jpg
18;https://manufakturaoswietlenia.pl/userdata/public/gfx/4948.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4950.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4947.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4949.jpg, https://manufakturaoswietlenia.pl/userdata/public/gfx/4946.jpg
